ACREAGE,NEIGHBORHOOD,FINISHED_AREA,YEAR_BUILT,BEDROOMS,FULL_BATH,HALF_BATH,LAND_USE_IS_APARTMENT:_LOW_RISE_(BUILT_SINCE_1960),LAND_USE_IS_CHURCH,LAND_USE_IS_CLUB/UNION_HALL/LODGE,LAND_USE_IS_CONDO,LAND_USE_IS_CONDOMINIUM_OFC__OR_OTHER_COM_CONDO,LAND_USE_IS_CONVENIENCE_MARKET_WITHOUT_GAS,LAND_USE_IS_DAY_CARE_CENTER,LAND_USE_IS_DORMITORY/BOARDING_HOUSE,LAND_USE_IS_DUPLEX,LAND_USE_IS_FOREST,LAND_USE_IS_GREENBELT,"LAND_USE_IS_GREENBELT/RES
GRRENBELT/RES",LAND_USE_IS_LIGHT_MANUFACTURING,"LAND_USE_IS_METRO_OTHER_THAN_OFC,_SCHOOL,HOSP,_OR_PARK",LAND_USE_IS_MOBILE_HOME,LAND_USE_IS_MORTUARY/CEMETERY,LAND_USE_IS_NIGHTCLUB/LOUNGE,LAND_USE_IS_NON-PROFIT_CHARITABLE_SERVICE,LAND_USE_IS_OFFICE_BLDG_(ONE_OR_TWO_STORIES),LAND_USE_IS_ONE_STORY_GENERAL_RETAIL_STORE,LAND_USE_IS_PARKING_LOT,LAND_USE_IS_PARSONAGE,LAND_USE_IS_QUADPLEX,LAND_USE_IS_RESIDENTIAL_COMBO/MISC,LAND_USE_IS_RESIDENTIAL_CONDO,LAND_USE_IS_RESTURANT/CAFETERIA,LAND_USE_IS_SINGLE_FAMILY,LAND_USE_IS_SMALL_SERVICE_SHOP,LAND_USE_IS_SPLIT_CLASS,LAND_USE_IS_STRIP_SHOPPING_CENTER,LAND_USE_IS_TERMINAL/DISTRIBUTION_WAREHOUSE,LAND_USE_IS_TRIPLEX,LAND_USE_IS_VACANT_COMMERCIAL_LAND,LAND_USE_IS_VACANT_RES_LAND,LAND_USE_IS_VACANT_RESIDENTIAL_LAND,LAND_USE_IS_VACANT_RESIENTIAL_LAND,LAND_USE_IS_VACANT_RURAL_LAND,LAND_USE_IS_VACANT_ZONED_MULTI_FAMILY,LAND_USE_IS_ZERO_LOT_LINE,PROPERTY_CITY_IS_ANTIOCH,PROPERTY_CITY_IS_BELLEVUE,PROPERTY_CITY_IS_BRENTWOOD,PROPERTY_CITY_IS_FRANKLIN,PROPERTY_CITY_IS_GOODLETTSVILLE,PROPERTY_CITY_IS_HERMITAGE,PROPERTY_CITY_IS_JOELTON,PROPERTY_CITY_IS_MADISON,PROPERTY_CITY_IS_MOUNT_JULIET,PROPERTY_CITY_IS_NASHVILLE,PROPERTY_CITY_IS_NOLENSVILLE,PROPERTY_CITY_IS_OLD_HICKORY,PROPERTY_CITY_IS_UNKNOWN,PROPERTY_CITY_IS_WHITES_CREEK,SOLD_AS_VACANT_IS_NO,SOLD_AS_VACANT_IS_YES,MULTIPLE_PARCELS_INVOLVED_IN_SALE_IS_NO,MULTIPLE_PARCELS_INVOLVED_IN_SALE_IS_YES,TAX_DISTRICT_IS_CITY_OF_BELLE_MEADE,TAX_DISTRICT_IS_CITY_OF_BERRY_HILL,TAX_DISTRICT_IS_CITY_OF_FOREST_HILLS,TAX_DISTRICT_IS_CITY_OF_GOODLETTSVILLE,TAX_DISTRICT_IS_CITY_OF_OAK_HILL,TAX_DISTRICT_IS_GENERAL_SERVICES_DISTRICT,TAX_DISTRICT_IS_URBAN_SERVICES_DISTRICT,FOUNDATION_TYPE_IS_CRAWL,FOUNDATION_TYPE_IS_FULL_BSMT,FOUNDATION_TYPE_IS_PIERS,FOUNDATION_TYPE_IS_PT_BSMT,FOUNDATION_TYPE_IS_SLAB,FOUNDATION_TYPE_IS_TYPICAL,EXTERIOR_WALL_IS_BRICK,EXTERIOR_WALL_IS_BRICK/FRAME,EXTERIOR_WALL_IS_CONC_BLK,EXTERIOR_WALL_IS_FRAME,EXTERIOR_WALL_IS_FRAME/STONE,EXTERIOR_WALL_IS_LOG,EXTERIOR_WALL_IS_METAL,EXTERIOR_WALL_IS_PRECAST_CONC,EXTERIOR_WALL_IS_STONE,EXTERIOR_WALL_IS_STUCCO,GRADE_IS_A___,GRADE_IS_AAB_,GRADE_IS_AAC_,GRADE_IS_B___,GRADE_IS_C___,GRADE_IS_D___,GRADE_IS_E___,GRADE_IS_IDC_,GRADE_IS_OFB_,GRADE_IS_OFC_,GRADE_IS_OMB_,GRADE_IS_SRC_,GRADE_IS_SRD_,GRADE_IS_SSC_,GRADE_IS_TAC_,GRADE_IS_TCB_,GRADE_IS_TCC_,GRADE_IS_TCD_,GRADE_IS_TFC_,GRADE_IS_X___,SALE_PRICE
0.01,107.0,0.0,1799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.79,9530.0,25193.0,2017.0,9.0,8.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1e+06
