Sale_Price,ZIP,BEDS,BATHS,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,DAYS_ON_MARKET,HOA/MONTH,LATITUDE,LONGITUDE,PROPERTY_TYPE_is_Condo/Co-Op,PROPERTY_TYPE_is_Multi-Family_2-4_Unit,PROPERTY_TYPE_is_Multi-Family_5+_Unit,PROPERTY_TYPE_is_Single_Family_Residential,PROPERTY_TYPE_is_Vacant_Land,CITY_is_Ada,CITY_is_Allendale,CITY_is_Ada,CITY_is_Allendale,CITY_is_Allendale_Charter_Township,CITY_is_Alpine_Twp,CITY_is_Byron_Center,CITY_is_Battle_Creek,CITY_is_Belmont,CITY_is_Byron_Center,CITY_is_Byron_Twp,CITY_is_Caledonia,CITY_is_Comstock_Park,CITY_is_Conklin,CITY_is_Coopersville,CITY_is_East_Grand_Rapids,CITY_is_Grand_Rapids,CITY_is_Grandville,CITY_is_Georgetown,CITY_is_Georgetown_Township,CITY_is_Georgetown_Twsp,CITY_is_Grand_Rapids,CITY_is_Grand_Rapids_Twp,CITY_is_Grandville,CITY_is_Hudsonville,CITY_is_Jenison,CITY_is_Jenison,CITY_is_Kentwood,CITY_is_Lowell,CITY_is_Marne,CITY_is_Plainfield_Charter_Township,CITY_is_Rockford,CITY_is_Saginaw,CITY_is_Sparta,CITY_is_Walker,CITY_is_Wyoming,STATE_is_Mi
112000,49548,4,1,1176,6762,1941,213,-1,42.89979,-85.662266,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
109900,49321,-1,-1,-1,16553,-1,-1,-1,43.0294,-85.68597,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
244000,49546,5,3,3706,17859,2005,140,-1,42.925299,-85.5603919,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150000,49507,3,1,1700,5040,1939,178,-1,42.924285,-85.643962,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
160000,49525,3,1.5,1560,15246,1962,21,-1,43.028531,-85.648299,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15935,49507,3,1,1298,5401,1888,-1,-1,42.942172,-85.668221,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175000,49525,2,2,1838,32670,1949,129,-1,43.052829,-85.577284,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
235000,49519,3,3.5,2685,15125,1995,336,-1,42.8672619,-85.720539,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
183000,49418,3,2,2374,-1,1990,11,247,42.8895989,-85.745298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
452000,49525,-1,-1,-1,-1,-1,-1,-1,43.037067,-85.553616,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
