LandUse,Acreage,TaxDistrict,LandValue,BuildingValue,FinishedArea,FoundationType,YearBuilt,Grade,Bedrooms,FullBath,HalfBath,Class
SINGLE FAMILY,0.26,URBAN SERVICES DISTRICT,22000,150400,2322,FULL BSMT,1956,C   ,5,2,0,B
DUPLEX,0.43,URBAN SERVICES DISTRICT,13000,60600,1978,CRAWL,1967,D   ,5,2,0,B
DUPLEX,0.91,GENERAL SERVICES DISTRICT,25000,112500,2331,PT BSMT,1958,C   ,5,2,0,B
SINGLE FAMILY,0.5,GENERAL SERVICES DISTRICT,26000,95800,2224,PT BSMT,1947,C   ,5,2,0,B
SINGLE FAMILY,0.27,URBAN SERVICES DISTRICT,21500,92000,1600,SLAB,1962,C   ,4,1,1,B
DUPLEX,0.27,URBAN SERVICES DISTRICT,28000,71100,1436,CRAWL,1970,C   ,4,2,0,B
DUPLEX,0.24,GENERAL SERVICES DISTRICT,21600,70600,1658,CRAWL,1984,C   ,4,2,0,B
SINGLE FAMILY,0.51,URBAN SERVICES DISTRICT,37000,227700,2236.85999,CRAWL,1948,C   ,4,3,0,B
DUPLEX,0.26,URBAN SERVICES DISTRICT,32000,88700,1594,CRAWL,1961,C   ,4,2,0,B
SINGLE FAMILY,0.27,URBAN SERVICES DISTRICT,21500,88400,1550,SLAB,1964,C   ,4,1,0,B
DUPLEX,0.23,URBAN SERVICES DISTRICT,18000,75400,1508,CRAWL,1976,C   ,4,2,0,B
SINGLE FAMILY,0.49,URBAN SERVICES DISTRICT,34000,85500,2182,SLAB,1965,C   ,4,2,0,B
SINGLE FAMILY,0.46,URBAN SERVICES DISTRICT,18000,111800,1860,CRAWL,1963,C   ,4,2,1,B
VACANT RES LAND,1.14,CITY OF OAK HILL,126000,418400,3986,CRAWL,2013,A   ,4,3,1,B
DUPLEX,0.27,URBAN SERVICES DISTRICT,32000,78000,1594,CRAWL,1960,C   ,4,2,0,B
DUPLEX,0.87,URBAN SERVICES DISTRICT,34000,74700,1650,CRAWL,1955,C   ,4,2,0,B
SINGLE FAMILY,1.03,URBAN SERVICES DISTRICT,16800,81500,1967.25,FULL BSMT,1960,C   ,4,2,0,B
SINGLE FAMILY,0.32,URBAN SERVICES DISTRICT,20400,86700,1850,SLAB,1964,C   ,4,1,1,B
DUPLEX,0.13,URBAN SERVICES DISTRICT,40000,102100,1436,CRAWL,1967,C   ,4,2,0,B
SINGLE FAMILY,0.18,URBAN SERVICES DISTRICT,32000,212400,2001,PT BSMT,1930,C   ,4,2,0,B
DUPLEX,0.23,URBAN SERVICES DISTRICT,21500,73900,1554,CRAWL,1984,C   ,4,3,0,B
DUPLEX,0.28,URBAN SERVICES DISTRICT,21500,79400,1589,CRAWL,1984,C   ,4,4,0,B
DUPLEX,0.15,URBAN SERVICES DISTRICT,6000,83600,1403,CRAWL,1987,D   ,4,2,0,B
DUPLEX,0.19,URBAN SERVICES DISTRICT,31000,66100,1575,CRAWL,1969,C   ,4,2,0,B
SINGLE FAMILY,0.22,URBAN SERVICES DISTRICT,22000,103400,1612,SLAB,1963,C   ,4,1,1,B
SINGLE FAMILY,0.34,URBAN SERVICES DISTRICT,24000,89200,1234,FULL BSMT,1958,C   ,4,1,0,B
SINGLE FAMILY,0.27,GENERAL SERVICES DISTRICT,16000,70300,1151,CRAWL,1940,C   ,4,1,0,B
SINGLE FAMILY,0.4,GENERAL SERVICES DISTRICT,21000,121100,2207.24999,PT BSMT,1963,C   ,4,2,0,B
SINGLE FAMILY,0.25,URBAN SERVICES DISTRICT,36000,172800,3441.5,FULL BSMT,1971,C   ,4,4,0,B
DUPLEX,0.25,GENERAL SERVICES DISTRICT,24000,63000,1718,CRAWL,1981,C   ,4,2,0,B
DUPLEX,0.21,URBAN SERVICES DISTRICT,25000,62400,1351,CRAWL,1966,C   ,4,2,0,B
DUPLEX,0.17,URBAN SERVICES DISTRICT,60300,67700,1575,CRAWL,1960,C   ,4,2,0,B
SINGLE FAMILY,0.25,GENERAL SERVICES DISTRICT,17000,96100,1530,CRAWL,1950,C   ,4,1,0,B
DUPLEX,0.19,GENERAL SERVICES DISTRICT,22000,39600,1549,CRAWL,1983,C   ,4,2,0,B
SINGLE FAMILY,0.64,URBAN SERVICES DISTRICT,31200,128300,1462,FULL BSMT,1955,C   ,6,1,0,C
TRIPLEX,0.16,URBAN SERVICES DISTRICT,11000,93300,2125,CRAWL,1964,C   ,6,3,0,C
TRIPLEX,0.17,URBAN SERVICES DISTRICT,80000,87300,2049,CRAWL,1966,C   ,6,3,0,C
DORMITORY/BOARDING HOUSE,0.84,URBAN SERVICES DISTRICT,24000,165400,3654,CRAWL,1976,C   ,6,4,0,C
DUPLEX,0.2,URBAN SERVICES DISTRICT,16200,105200,2080,CRAWL,1995,C   ,6,2,0,C
TRIPLEX,0.17,URBAN SERVICES DISTRICT,40000,96000,2075,CRAWL,1967,C   ,6,3,0,C
DUPLEX,0.39,GENERAL SERVICES DISTRICT,27000,103000,2825.35999,FULL BSMT,1974,C   ,6,4,0,C
TRIPLEX,0.12,URBAN SERVICES DISTRICT,13000,79600,2319,CRAWL,1959,D   ,6,3,0,C
DUPLEX,0.25,GENERAL SERVICES DISTRICT,20000,69500,2000,FULL BSMT,1967,C   ,6,2,0,C
QUADPLEX,0.48,GENERAL SERVICES DISTRICT,16000,161600,2688,FULL BSMT,1960,C   ,6,2,0,C
DUPLEX,0.09,GENERAL SERVICES DISTRICT,17000,66100,2000,CRAWL,1938,D   ,6,2,0,C
DUPLEX,0.09,GENERAL SERVICES DISTRICT,17000,64100,2000,CRAWL,1933,D   ,6,2,0,C
DUPLEX,0.6,URBAN SERVICES DISTRICT,24000,101400,1720,FULL BSMT,1970,C   ,6,4,0,C
SINGLE FAMILY,0.53,URBAN SERVICES DISTRICT,34000,188200,3194,PT BSMT,1960,C   ,5,3,0,C
TRIPLEX,0.19,URBAN SERVICES DISTRICT,27000,85400,2203,CRAWL,1956,C   ,5,3,0,C
SINGLE FAMILY,0.35,GENERAL SERVICES DISTRICT,21000,102400,1840,CRAWL,1966,C   ,5,1,1,C
DUPLEX,0.17,URBAN SERVICES DISTRICT,60300,124900,2900,FULL BSMT,1959,C   ,5,3,0,C
SINGLE FAMILY,0.27,URBAN SERVICES DISTRICT,25000,175000,3002,CRAWL,1940,C   ,5,2,0,C
SINGLE FAMILY,0.21,URBAN SERVICES DISTRICT,26000,300600,3010,PT BSMT,1916,C   ,5,2,0,C
DUPLEX,0.56,URBAN SERVICES DISTRICT,35200,120000,1742.5,FULL BSMT,1969,C   ,5,2,0,C
SINGLE FAMILY,0.3,GENERAL SERVICES DISTRICT,27000,120900,2617.75,FULL BSMT,1970,C   ,5,3,0,C
DUPLEX,0.43,URBAN SERVICES DISTRICT,32000,80100,2050,FULL BSMT,1959,C   ,5,2,0,C
